slope,elevation,rainfall_total,rainfall_1h,rainfall_6h,rainfall_12h,rainfall_24h,soil_moisture,soil_type,geology,vegetation_ndvi,land_use,historical_landslide_density,risk_probability,risk_level,source_type
29.1,802.1,35.9,3.2,14.6,19.9,35.9,0.314,1,0,0.618,3,0.012,0.1443,LOW,DEMO
18.7,476.8,73.9,8.2,37.6,60.6,73.9,0.348,3,3,0.295,1,0.386,0.1827,LOW,DEMO
48.5,613.7,9.6,1.6,4.1,6.4,9.6,0.274,0,1,0.325,3,0.391,0.2191,LOW,DEMO
37.7,3110.6,161.8,23.3,64.4,131.2,161.8,0.547,1,0,0.195,2,0.306,0.5721,HIGH,DEMO
28.2,506.4,129.1,8.3,37.5,72.5,129.1,0.512,2,1,0.435,1,0.426,0.3538,MEDIUM,DEMO
15.1,348.8,184.6,21.1,78.9,109.6,184.6,0.674,3,2,0.408,3,0.137,0.4068,MEDIUM,DEMO
27.4,331.1,23.5,4.8,10.0,15.2,23.5,0.314,2,0,0.231,2,0.392,0.1705,LOW,DEMO
28.0,630.8,104.6,12.9,34.6,68.3,104.6,0.546,1,1,0.754,2,0.351,0.3109,MEDIUM,DEMO
41.9,1362.6,52.9,8.8,26.4,42.6,52.9,0.371,1,2,0.768,1,0.365,0.2481,LOW,DEMO
38.2,287.6,14.5,1.6,5.9,8.0,14.5,0.239,2,0,0.203,2,0.554,0.1964,LOW,DEMO
50.1,1191.9,141.1,13.9,58.0,104.7,141.1,0.626,0,3,0.322,1,0.606,0.586,HIGH,DEMO
32.7,99.2,30.1,2.9,9.0,17.7,30.1,0.3,1,1,0.679,2,0.269,0.1558,LOW,DEMO
18.9,568.6,96.1,26.7,56.1,76.6,96.1,0.376,2,1,0.781,1,0.346,0.2867,MEDIUM,DEMO
41.2,1426.0,52.5,5.2,24.2,41.1,52.5,0.464,2,3,0.174,1,0.197,0.2451,LOW,DEMO
43.2,452.2,85.6,17.1,34.5,59.9,85.6,0.372,0,0,0.806,2,0.302,0.4046,MEDIUM,DEMO
35.5,826.6,131.7,11.2,42.9,80.8,131.7,0.456,1,2,0.167,0,0.165,0.3243,MEDIUM,DEMO
43.7,286.4,85.8,14.7,45.6,63.5,85.8,0.382,1,2,0.602,3,0.096,0.3186,MEDIUM,DEMO
33.3,1299.3,39.5,3.5,16.6,23.6,39.5,0.332,2,1,0.137,1,0.048,0.1971,LOW,DEMO
34.3,128.3,237.0,30.8,82.1,143.8,237.0,0.737,2,0,0.825,1,0.185,0.6142,HIGH,DEMO
31.3,1802.8,61.5,7.2,20.8,45.4,61.5,0.232,1,1,0.389,1,0.177,0.224,LOW,DEMO
11.4,278.8,45.5,9.0,22.5,38.5,45.5,0.381,0,0,0.613,1,0.461,0.1847,LOW,DEMO
18.2,1947.2,72.4,10.8,29.8,59.2,72.4,0.357,2,1,0.26,2,0.432,0.2222,LOW,DEMO
12.1,471.2,24.0,2.7,8.6,17.5,24.0,0.274,3,2,0.364,3,0.127,0.09,LOW,DEMO
38.2,1234.3,48.5,8.3,19.6,34.5,48.5,0.426,2,1,0.688,3,0.476,0.2434,LOW,DEMO
27.6,426.1,64.1,5.4,26.1,54.4,64.1,0.38,2,1,0.859,1,0.175,0.1879,LOW,DEMO
33.8,2207.2,90.3,17.2,47.5,64.5,90.3,0.44,3,0,0.874,1,0.382,0.3681,MEDIUM,DEMO
51.5,201.9,79.2,5.8,24.8,53.5,79.2,0.395,1,0,0.735,2,0.191,0.3735,MEDIUM,DEMO
25.1,257.0,104.7,16.3,49.2,86.2,104.7,0.483,1,3,0.764,2,0.139,0.2527,MEDIUM,DEMO
30.8,691.4,74.4,10.1,23.0,46.1,74.4,0.469,0,0,0.857,3,0.47,0.2558,MEDIUM,DEMO
43.0,156.9,149.7,13.8,56.9,86.7,149.7,0.404,3,0,0.151,2,0.126,0.5266,HIGH,DEMO
24.3,276.3,116.3,19.6,40.8,86.1,116.3,0.52,1,3,0.249,2,0.178,0.3148,MEDIUM,DEMO
16.2,2670.4,99.6,16.5,35.4,57.7,99.6,0.512,1,1,0.16,2,0.181,0.3001,MEDIUM,DEMO
26.7,3455.3,164.9,24.2,74.4,109.1,164.9,0.581,0,1,0.501,2,0.204,0.4603,MEDIUM,DEMO
21.2,504.8,164.9,16.6,82.1,111.6,164.9,0.522,1,0,0.848,2,0.035,0.387,MEDIUM,DEMO
53.2,2390.9,83.0,17.1,39.1,59.3,83.0,0.347,0,0,0.563,1,0.35,0.5289,HIGH,DEMO
45.5,788.4,59.4,11.2,24.2,50.4,59.4,0.478,1,1,0.542,2,0.022,0.3282,MEDIUM,DEMO
38.1,362.9,88.1,6.5,25.9,54.3,88.1,0.368,3,1,0.748,3,0.236,0.2638,MEDIUM,DEMO
49.0,1170.8,70.1,14.8,31.1,46.5,70.1,0.456,0,3,0.826,0,0.357,0.3201,MEDIUM,DEMO
45.3,1048.0,57.8,8.3,17.5,34.1,57.8,0.377,1,1,0.651,0,0.697,0.2956,MEDIUM,DEMO
22.4,4149.2,85.9,12.5,36.7,62.9,85.9,0.512,0,0,0.8,0,0.389,0.2334,LOW,DEMO
50.4,357.2,97.7,24.5,55.7,75.0,97.7,0.415,2,0,0.253,0,0.434,0.5151,HIGH,DEMO
34.8,1083.4,112.8,18.2,54.6,78.4,112.8,0.379,1,0,0.503,3,0.388,0.408,MEDIUM,DEMO
45.5,128.1,180.9,29.3,79.4,112.8,180.9,0.586,0,0,0.397,0,0.451,0.637,HIGH,DEMO
50.7,188.6,91.4,14.1,47.7,67.3,91.4,0.345,3,1,0.373,2,0.172,0.4584,MEDIUM,DEMO
27.7,83.5,75.5,8.5,34.2,53.7,75.5,0.524,2,0,0.283,3,0.069,0.2455,LOW,DEMO
18.4,4200.0,139.0,23.8,56.3,83.6,139.0,0.54,3,0,0.799,3,0.16,0.3463,MEDIUM,DEMO
24.2,1538.8,42.5,3.2,15.9,28.5,42.5,0.368,0,3,0.462,1,0.329,0.136,LOW,DEMO
31.3,1470.6,21.3,4.1,10.9,14.5,21.3,0.329,1,1,0.523,1,0.094,0.1578,LOW,DEMO
46.0,721.5,103.6,21.5,46.7,87.6,103.6,0.408,3,0,0.33,0,0.418,0.4771,MEDIUM,DEMO
48.4,401.1,61.3,8.2,30.9,49.4,61.3,0.357,2,0,0.852,0,0.603,0.3185,MEDIUM,DEMO
8.4,227.6,64.6,8.0,26.6,49.7,64.6,0.375,2,2,0.585,0,0.251,0.1272,LOW,DEMO
33.9,381.5,41.7,6.2,16.5,34.1,41.7,0.425,2,3,0.121,0,0.118,0.159,LOW,DEMO
31.0,504.4,156.3,20.5,74.7,120.4,156.3,0.482,2,1,0.324,1,0.258,0.4914,MEDIUM,DEMO
24.0,1350.7,22.1,4.6,10.1,18.1,22.1,0.255,2,1,0.88,0,0.126,0.1011,LOW,DEMO
18.9,778.2,110.3,12.1,39.0,62.5,110.3,0.437,0,2,0.861,1,0.207,0.2254,LOW,DEMO
28.4,152.6,76.2,12.1,32.3,52.3,76.2,0.358,2,3,0.534,3,0.46,0.2127,LOW,DEMO
54.4,96.4,187.7,23.8,89.0,145.3,187.7,0.526,2,0,0.549,2,0.462,0.7354,HIGH,DEMO
27.9,177.2,139.3,10.4,49.2,101.0,139.3,0.374,0,3,0.805,2,0.16,0.2637,MEDIUM,DEMO
34.1,555.6,33.7,3.0,11.8,20.3,33.7,0.221,1,2,0.659,2,0.167,0.1349,LOW,DEMO
40.8,2515.4,116.4,11.3,52.7,75.9,116.4,0.521,1,0,0.828,0,0.224,0.3669,MEDIUM,DEMO
29.3,993.0,101.8,12.2,35.8,65.7,101.8,0.439,3,0,0.484,2,0.411,0.3281,MEDIUM,DEMO
57.5,1536.7,72.5,10.0,26.6,45.5,72.5,0.426,2,1,0.862,0,0.115,0.3918,MEDIUM,DEMO
56.4,645.3,110.8,9.2,43.3,72.3,110.8,0.427,2,0,0.53,0,0.161,0.4847,MEDIUM,DEMO
25.2,484.0,48.4,5.5,24.2,34.1,48.4,0.335,2,0,0.61,0,0.309,0.1533,LOW,DEMO
33.4,183.3,81.3,14.7,42.4,65.5,81.3,0.482,1,3,0.183,0,0.097,0.2514,MEDIUM,DEMO
27.1,1958.2,77.1,12.6,28.6,59.5,77.1,0.471,3,1,0.585,0,0.108,0.2208,LOW,DEMO
26.5,1455.7,43.4,9.6,24.6,34.7,43.4,0.378,0,1,0.704,3,0.172,0.1698,LOW,DEMO
12.7,245.7,61.4,8.1,35.0,50.1,61.4,0.374,2,0,0.454,1,0.495,0.2065,LOW,DEMO
37.2,726.2,54.4,11.6,24.8,36.7,54.4,0.377,0,1,0.502,1,0.487,0.2994,MEDIUM,DEMO
33.6,681.4,97.6,17.9,37.6,63.8,97.6,0.45,0,2,0.419,2,0.284,0.332,MEDIUM,DEMO
14.1,963.0,161.9,18.5,62.2,91.8,161.9,0.542,1,0,0.856,2,0.304,0.3959,MEDIUM,DEMO
26.2,2710.0,28.1,5.3,13.8,23.3,28.1,0.282,1,0,0.482,0,0.246,0.1369,LOW,DEMO
51.5,860.3,99.5,13.2,38.0,56.7,99.5,0.491,2,0,0.216,2,0.435,0.5406,HIGH,DEMO
24.7,779.3,53.0,14.1,29.2,40.9,53.0,0.284,1,0,0.142,3,0.468,0.2445,LOW,DEMO
20.3,126.5,134.0,22.5,63.8,88.9,134.0,0.573,0,3,0.707,1,0.022,0.3122,MEDIUM,DEMO
33.2,138.5,98.7,23.6,48.3,82.4,98.7,0.42,3,0,0.536,1,0.172,0.3892,MEDIUM,DEMO
59.7,266.7,22.7,2.8,10.9,15.4,22.7,0.227,1,0,0.122,3,0.245,0.3491,MEDIUM,DEMO
24.8,109.7,85.9,10.0,32.8,68.3,85.9,0.382,3,1,0.411,2,0.576,0.2608,MEDIUM,DEMO
39.5,1304.0,69.9,9.3,21.3,44.4,69.9,0.336,3,1,0.815,3,0.408,0.2693,MEDIUM,DEMO
43.3,1236.4,30.5,5.2,12.0,19.5,30.5,0.278,1,0,0.84,0,0.391,0.2029,LOW,DEMO
24.6,211.6,53.5,10.6,25.2,39.0,53.5,0.32,0,1,0.161,2,0.221,0.2094,LOW,DEMO
41.8,1707.5,83.5,16.1,35.2,70.9,83.5,0.373,2,0,0.214,1,0.258,0.436,MEDIUM,DEMO
29.4,231.3,54.6,9.4,22.8,38.5,54.6,0.336,2,0,0.124,1,0.362,0.261,MEDIUM,DEMO
38.0,402.5,143.6,22.3,57.1,119.3,143.6,0.513,1,0,0.78,3,0.309,0.4822,MEDIUM,DEMO
38.1,337.7,69.5,11.6,34.4,54.6,69.5,0.417,0,0,0.174,3,0.54,0.344,MEDIUM,DEMO
34.7,499.1,50.8,9.6,28.3,40.1,50.8,0.332,2,0,0.202,0,0.025,0.2201,LOW,DEMO
17.1,344.5,86.5,12.7,39.5,58.9,86.5,0.427,1,1,0.293,3,0.153,0.2294,LOW,DEMO
46.9,684.2,93.9,13.6,35.2,62.5,93.9,0.425,0,0,0.817,0,0.256,0.3875,MEDIUM,DEMO
27.8,550.9,134.8,19.7,61.3,81.9,134.8,0.527,3,0,0.643,0,0.304,0.3799,MEDIUM,DEMO
22.4,3959.2,79.2,10.5,43.1,66.4,79.2,0.399,3,1,0.589,0,0.382,0.201,LOW,DEMO
13.1,131.8,91.4,12.3,53.2,76.6,91.4,0.387,1,1,0.716,3,0.364,0.2172,LOW,DEMO
36.5,218.0,61.3,14.7,30.9,47.5,61.3,0.318,0,0,0.647,2,0.514,0.3136,MEDIUM,DEMO
39.7,128.8,190.5,18.9,90.9,121.7,190.5,0.614,2,0,0.687,0,0.372,0.5865,HIGH,DEMO
10.2,964.8,98.4,9.9,42.7,61.3,98.4,0.496,1,2,0.176,1,0.168,0.2271,LOW,DEMO
33.9,130.4,84.7,14.5,43.4,71.7,84.7,0.396,0,0,0.568,0,0.456,0.3065,MEDIUM,DEMO
24.2,1709.5,54.6,4.9,17.4,31.1,54.6,0.316,3,1,0.692,2,0.443,0.1668,LOW,DEMO
38.5,725.6,145.5,24.6,76.5,116.9,145.5,0.507,3,0,0.55,1,0.292,0.5355,HIGH,DEMO
21.8,753.8,20.8,2.0,8.6,13.6,20.8,0.261,1,2,0.129,0,0.002,0.0875,LOW,DEMO
40.3,822.1,86.8,9.0,37.5,58.7,86.8,0.378,2,2,0.28,2,0.355,0.2998,MEDIUM,DEMO
30.0,248.6,48.9,9.5,21.6,39.1,48.9,0.269,0,1,0.852,1,0.118,0.1933,LOW,DEMO
53.8,278.2,126.6,18.1,42.3,73.1,126.6,0.473,1,0,0.656,2,0.171,0.5982,HIGH,DEMO
19.9,425.5,94.5,8.9,38.3,62.0,94.5,0.437,0,1,0.643,2,0.069,0.2125,LOW,DEMO
28.5,890.1,85.5,20.1,50.1,71.5,85.5,0.355,0,1,0.622,1,0.135,0.3079,MEDIUM,DEMO
18.6,292.3,36.5,7.2,18.8,27.7,36.5,0.274,1,0,0.217,2,0.198,0.1596,LOW,DEMO
52.8,191.3,73.2,11.4,27.6,56.8,73.2,0.339,2,3,0.123,0,0.189,0.3514,MEDIUM,DEMO
49.4,3239.4,96.9,13.5,39.4,75.3,96.9,0.361,1,3,0.455,0,0.124,0.3533,MEDIUM,DEMO
25.4,100.0,134.8,9.9,35.1,76.6,134.8,0.453,1,0,0.458,2,0.111,0.3258,MEDIUM,DEMO
39.1,1540.7,104.8,11.6,29.0,64.0,104.8,0.435,1,2,0.737,2,0.156,0.3039,MEDIUM,DEMO
46.0,1476.2,126.6,14.2,45.7,88.3,126.6,0.418,2,1,0.258,3,0.362,0.4981,MEDIUM,DEMO
35.3,397.4,26.3,3.2,12.0,17.4,26.3,0.292,1,1,0.329,1,0.154,0.184,LOW,DEMO
34.5,211.2,84.2,13.2,40.9,56.7,84.2,0.371,0,0,0.179,3,0.178,0.3247,MEDIUM,DEMO
24.8,221.7,138.1,26.4,61.5,108.3,138.1,0.46,0,0,0.424,1,0.307,0.428,MEDIUM,DEMO
17.3,1155.9,11.3,1.3,3.9,6.3,11.3,0.29,0,3,0.315,1,0.165,0.0905,LOW,DEMO
50.7,1006.5,65.8,9.4,32.6,49.2,65.8,0.34,1,2,0.32,0,0.204,0.3029,MEDIUM,DEMO
51.0,1454.0,97.5,17.7,39.4,53.6,97.5,0.407,0,1,0.313,2,0.279,0.523,HIGH,DEMO
38.0,2575.1,149.5,28.6,61.6,85.0,149.5,0.592,2,2,0.296,2,0.185,0.4814,MEDIUM,DEMO
28.4,1139.7,81.9,8.5,25.7,55.1,81.9,0.356,3,2,0.363,1,0.327,0.2275,LOW,DEMO
28.8,232.5,75.9,10.0,31.9,60.9,75.9,0.469,0,0,0.528,0,0.131,0.2266,LOW,DEMO
41.7,331.1,92.1,9.7,25.4,54.6,92.1,0.404,1,0,0.453,0,0.125,0.3235,MEDIUM,DEMO
50.7,1741.7,98.1,9.7,44.6,70.2,98.1,0.375,1,2,0.168,0,0.062,0.3602,MEDIUM,DEMO
50.0,291.4,41.4,8.4,20.7,31.2,41.4,0.299,3,2,0.444,1,0.158,0.2876,MEDIUM,DEMO
44.1,147.8,54.5,8.0,18.3,33.8,54.5,0.355,0,3,0.763,0,0.117,0.1994,LOW,DEMO
38.4,1173.5,17.9,2.8,8.9,12.6,17.9,0.346,2,0,0.197,3,0.382,0.1975,LOW,DEMO
16.7,543.5,48.9,6.0,23.6,40.3,48.9,0.381,1,1,0.838,3,0.192,0.1315,LOW,DEMO
21.2,2353.6,34.5,3.8,18.2,24.3,34.5,0.317,1,2,0.355,3,0.266,0.1135,LOW,DEMO
50.8,1025.5,41.1,4.3,11.1,24.6,41.1,0.389,0,1,0.131,1,0.198,0.3343,MEDIUM,DEMO
37.1,165.3,251.1,25.1,89.5,185.4,251.1,0.622,0,2,0.312,1,0.417,0.5995,HIGH,DEMO
8.9,2738.4,144.2,19.2,56.7,104.9,144.2,0.53,0,0,0.173,3,0.533,0.4137,MEDIUM,DEMO
17.8,349.2,35.1,2.8,9.0,19.6,35.1,0.331,0,0,0.55,1,0.301,0.1423,LOW,DEMO
39.2,450.2,28.7,2.9,11.3,16.6,28.7,0.319,1,0,0.36,0,0.088,0.1758,LOW,DEMO
7.9,543.1,51.0,5.0,14.2,30.4,51.0,0.264,2,0,0.733,1,0.531,0.1627,LOW,DEMO
21.1,127.3,27.9,3.8,11.1,16.5,27.9,0.251,2,0,0.677,1,0.51,0.1467,LOW,DEMO
35.1,697.6,90.5,10.3,26.5,56.8,90.5,0.41,1,3,0.476,1,0.277,0.2765,MEDIUM,DEMO
40.3,198.5,89.5,8.9,32.3,61.4,89.5,0.472,0,0,0.546,0,0.376,0.3221,MEDIUM,DEMO
38.7,541.2,40.7,5.0,18.9,26.9,40.7,0.421,0,1,0.583,2,0.461,0.2296,LOW,DEMO
24.1,468.7,116.9,31.2,70.3,95.6,116.9,0.434,2,3,0.326,2,0.133,0.2959,MEDIUM,DEMO
41.1,1413.9,117.0,20.2,49.3,85.8,117.0,0.402,1,1,0.226,0,0.113,0.4259,MEDIUM,DEMO
24.6,1542.9,47.3,12.3,28.5,38.5,47.3,0.379,3,0,0.406,1,0.286,0.2319,LOW,DEMO
28.0,229.9,39.7,4.2,17.9,28.1,39.7,0.454,3,0,0.192,2,0.095,0.1852,LOW,DEMO
42.6,490.9,57.7,5.1,19.1,33.3,57.7,0.412,0,1,0.359,0,0.1,0.2391,LOW,DEMO
38.7,500.6,108.2,19.2,51.5,74.6,108.2,0.414,3,0,0.54,0,0.398,0.4071,MEDIUM,DEMO
47.7,227.8,238.5,46.8,102.3,190.0,238.5,0.836,2,3,0.53,1,0.126,0.6928,HIGH,DEMO
39.0,1521.6,106.6,16.1,34.3,64.8,106.6,0.482,2,1,0.212,2,0.311,0.4381,MEDIUM,DEMO
35.8,1185.5,32.9,5.5,12.3,19.0,32.9,0.272,3,2,0.126,2,0.274,0.178,LOW,DEMO
17.3,270.1,93.6,7.3,34.5,60.8,93.6,0.521,1,1,0.188,0,0.07,0.2009,LOW,DEMO
